"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-09,2026-08-13,"[CONVERSÃO] [LEADS] [EEM] [AUTO] [FRIO] - INTERESSE - TESTE DE CRIATIVOS",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] [LEADS] [EEM] [AUTO] [FRIO] - INTERESSE - ESACALA",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] [LEADS] [EEM] [AUTO] [FRIO] - INTERESSE -  ESCALA  013 - 014",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[ALCANCE] [LEMBRETE] [EEM] [AUTO] [FRIO]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] [LEADS] [EEM] [AUTO] [FRIO] -  EUA",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[TRÁFEGO] [LEMBRETE] [AULA1] [EEM] [AUTO] [FRIO] - AULA 1",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[ALCANCE] [LEMBRETE] [EEM] [AUTO] [FRIO]",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[TRÁFEGO] [LEMBRETE] [CBO] [AULA1] [EEM] [AUTO] [FRIO] - AULA 1",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,120,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[VIDEO VIEW] [LEMBRETE] [AULA1] [EEM] [AUTO] [FRIO] - AULA 1",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[TRÁFEGO] [LEMBRETE] [CBO] [AULA2] [EEM] [AUTO] [FRIO] - AULA 2",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,120,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[ALCANCE] [LEMBRETE] [AULA2] [EEM] [AUTO] [FRIO] - AULA 2",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[VIDEO VIEW] [LEMBRETE] [CBO] [AULA2] [EEM] [AUTO] [FRIO] - AULA 2",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,100,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[TRÁFEGO] [LEMBRETE] [CBO] [AULA3] [EEM] [AUTO] [FRIO] - AULA 3",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,300,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[ALCANCE] [LEMBRETE] [LIVE [EEM] [AUTO] [FRIO] - LIVE AQUECIMENTO",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[VIDEO VIEW] [LEMBRETE] [CBO] [AULA3] [EEM] [AUTO] [FRIO] - AULA 3",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,100,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[VIDEO VIEW] [CONTEUDO] [CBO] [AULA3] [EEM] [AUTO] [FRIO] - CORTES DA AULA 2",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[TRÁFEGO] [LEMBRETE] [CBO] [TODAS AS AULAS [EEM] [AUTO] [FRIO] - TODAS AS AULAS LIBERADAS",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,90,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[TRÁFEGO] [LEMBRETE] [CBO] [TODAS AS AULAS [EEM] [AUTO] [FRIO] - CORTES DAS AULAS",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,200,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] [COMPRA] [CBO] [EEM][AUTO] [QUENTE] - RMKT",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,125,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] [COMPRA] [ABO] [EEM][AUTO] [FRIO] - RMKT",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] [COMPRA] [ABO] [ZOOM] [AUTO] [FRIO] - AULÃO NO ZOOM",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] [COMPRA] [ABO] [ZOOM] [AUTO] [QUENTE] - AULÃO NO ZOOM",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[CONVERSÃO] [COMPRA] [ABO] [ZOOM] [AUTO] [FRIO] - AULÃO NO ZOOM",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
