"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Início,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-05-01,2026-08-08,"00 [AUTO] Nicho Clínicas",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,2026-01-15,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"01 [AUTO] Profissionais liberais",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,2026-01-15,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"00 [INSTA] Dermatologista",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,10,Diário,0,Contínuo,2026-01-26,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,Academia,inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,10,Diário,0,Contínuo,2026-02-05,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,Aberto,inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,2026-02-09,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"01 [AUTO] Look a like 1% site",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,2026-02-10,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Advantage+ 2",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,2026-03-09,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[MENSAGEM] SDM",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2021-10-14,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[TRÁFEGO] LP",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2021-10-14,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[VÍDEO] LP",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2021-10-14,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[TRÁFEGO] AULÃO",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2021-11-03,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[TRÁFEGO] ENVOLVIDOS",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2021-11-03,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Estados Unidos",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,"Usando orçamento da campanha",0,0,Contínuo,2025-02-05,0,0,,,,,0,0,0,,,,,0,0,,
